fullName,parkCode,states,latitude,longitude,description_length,num_activities
Pennsylvania Avenue,paav,DC,38.89426856,-77.02506554,183,2
Perry's Victory & International Peace Memorial,pevi,OH,41.65449782,-82.8115794,353,22
Petersburg National Battlefield,pete,VA,37.19109957,-77.47594865,335,17
Petrified Forest National Park,pefo,AZ,34.98387664,-109.7877678,395,37
Petroglyph National Monument,petr,NM,35.13915998,-106.7491456,399,8
Pictured Rocks National Lakeshore,piro,MI,46.56435642,-86.31628733,358,51
Pinnacles National Park,pinn,CA,36.49029208,-121.1813607,343,26
Pipe Spring National Monument,pisp,AZ,36.86282666,-112.7398567,365,20
Pipestone National Monument,pipe,MN,44.01351958,-96.32475523,206,15
Piscataway Park,pisc,MD,38.6929,-77.067,335,2
Point Reyes National Seashore,pore,CA,38.05511241,-122.8797804,398,18
Pony Express National Historic Trail,poex,"CA,CO,KS,MO,NE,NV,UT,WY",42.2365761128,-109.266148417,309,11
Port Chicago Naval Magazine National Memorial,poch,CA,38.05685472,-122.0301603,395,2
Potomac Heritage National Scenic Trail,pohe,"DC,MD,PA,VA",39.15060133,-77.52301085,180,6
Poverty Point National Monument,popo,LA,32.6424361,-91.40829834,390,4
President William Jefferson Clinton Birthplace Home National Historic Site,wicl,AR,33.66758356,-93.59641868,396,8
Presidio of San Francisco,prsf,CA,37.797,-122.4671,391,10
Prince William Forest Park,prwi,VA,38.58589108,-77.38910997,392,29
Pullman National Historical Park,pull,IL,41.69429163,-87.60873824,293,7
Puʻuhonua o Hōnaunau National Historical Park,puho,HI,19.41268627,-155.9008789,379,15
Puʻukoholā Heiau National Historic Site,puhe,HI,20.02772186,-155.8211629,399,13
Rainbow Bridge National Monument,rabr,UT,37.0779,-110.9655,380,6
Reconstruction Era National Historical Park,reer,SC,32.3868598938,-80.6511077881,399,6
Redwood National and State Parks,redw,CA,41.37237268,-124.0318129,362,39
Richmond National Battlefield Park,rich,VA,37.48774472,-77.29107785,273,11
Rio Grande Wild & Scenic River,rigr,TX,29.881,-102.3188,343,15
River Raisin National Battlefield Park,rira,MI,41.91291085,-83.37620464,395,40
Rock Creek Park,rocr,DC,38.95125063,-77.05002838,384,27
Rocky Mountain National Park,romo,CO,40.3556924,-105.6972879,363,22
Roger Williams National Memorial,rowi,RI,41.8298955,-71.41056665,396,12
Roosevelt Campobello International Park,roca,ME,44.8736,-66.9621,397,1
Rosie the Riveter WWII Home Front National Historical Park,rori,CA,37.90999027,-122.360156,277,7
Russell Cave National Monument,ruca,AL,34.97402063,-85.81560314,393,11
Sagamore Hill National Historic Site,sahi,NY,40.88579128,-73.49686438,373,26
Saguaro National Park,sagu,AZ,32.20909636,-110.7574974,394,14
Saint Croix Island International Historic Site,sacr,ME,45.12858838,-67.13363651,394,3
Saint Croix National Scenic Riverway,sacn,"WI,MN",45.70019235,-92.36126685,349,21
Saint Paul's Church National Historic Site,sapa,NY,40.89283511,-73.82577276,397,9
Saint-Gaudens National Historical Park,saga,NH,43.4997238,-72.37333969,379,27
Salem Maritime National Historical Park,sama,MA,42.52024529,-70.88640867,398,9
Salinas Pueblo Missions National Monument,sapu,NM,34.35423203,-106.2050309,398,15
Salt River Bay National Historical Park and Ecological Preserve,sari,VI,17.77908602,-64.75519348,267,7
San Antonio Missions National Historical Park,saan,TX,29.31262089,-98.4289522,385,15
San Francisco Maritime National Historical Park,safr,CA,37.81005871,-122.4244415,378,19
San Juan Island National Historical Park,sajh,WA,48.51241933,-123.0610277,353,24
San Juan National Historic Site,saju,PR,18.46873857,-66.11848623,393,10
Sand Creek Massacre National Historic Site,sand,CO,38.56414189,-102.5169542,384,6
Santa Fe National Historic Trail,safe,"CO,KS,MO,NM,OK",37.7276522226,-99.921969227,337,9
Santa Monica Mountains National Recreation Area,samo,CA,34.09777606,-118.7708619,299,15
Saratoga National Historical Park,sara,NY,42.99522612,-73.63386108,394,31
Saugus Iron Works National Historic Site,sair,MA,42.46830664,-71.0076953,351,6
Scotts Bluff National Monument,scbl,NE,41.83464193,-103.7071351,365,18
Selma To Montgomery National Historic Trail,semo,AL,32.27082092,-86.72823702,395,9
Sequoia & Kings Canyon National Parks,seki,CA,36.71277299,-118.587429,339,39
Shenandoah National Park,shen,VA,38.49236644,-78.46907715,349,34
Shiloh National Military Park,shil,"TN,MS",35.13850907,-88.3421072,366,20
Sitka National Historical Park,sitk,AK,57.04718173,-135.3156876,358,16
Sleeping Bear Dunes National Lakeshore,slbe,MI,44.92844962,-86.02706591,398,29
Springfield 1908 Race Riot National Monument,spra,IL,39.8027,-89.6422,377,0
Springfield Armory National Historic Site,spar,MA,42.1086368,-72.57967415,400,8
Star-Spangled Banner National Historic Trail,stsp,"MD,VA,DC",39.2872505188,-76.6034317017,391,41
Statue Of Liberty National Monument,stli,NY,40.6898,-74.0451,381,11
Ste. Geneviève National Historical Park,stge,MO,37.9792171421,-90.0432157516,360,7
Steamtown National Historic Site,stea,PA,41.40757521,-75.67037255,399,11
Stones River National Battlefield,stri,TN,35.87608652,-86.43078399,251,23
Stonewall National Monument,ston,NY,40.7337799072,-74.0006866455,243,3
